Id,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
59,2005-09-24,1.0,9.0,0.0,1.0,A,0.0,0.0,D,11.0,14.0,11.0,7.0,3.0,17.0,21.0,11.0,3.0,2.0,1.0,0.0,0.0,Ses2005/2006
60,2005-09-24,14.0,11.0,1.0,2.0,A,0.0,1.0,A,32.0,27.0,10.0,8.0,10.0,13.0,15.0,7.0,1.0,1.0,3.0,0.0,0.0,Ses2005/2006
61,2005-09-24,15.0,3.0,1.0,0.0,H,1.0,0.0,H,51.0,8.0,8.0,6.0,4.0,14.0,14.0,3.0,6.0,0.0,2.0,0.0,0.0,Ses2005/2006
62,2005-09-24,17.0,12.0,1.0,2.0,A,0.0,2.0,A,37.0,18.0,8.0,10.0,4.0,10.0,12.0,6.0,3.0,0.0,1.0,0.0,0.0,Ses2005/2006
63,2005-09-24,7.0,8.0,0.0,0.0,D,0.0,0.0,D,20.0,6.0,8.0,0.0,2.0,11.0,7.0,4.0,3.0,2.0,0.0,0.0,0.0,Ses2005/2006
64,2005-09-25,4.0,6.0,0.0,2.0,A,0.0,1.0,A,52.0,20.0,4.0,11.0,2.0,13.0,21.0,8.0,2.0,3.0,2.0,0.0,0.0,Ses2005/2006
65,2005-09-26,16.0,2.0,1.0,0.0,H,1.0,0.0,H,8.0,9.0,8.0,4.0,5.0,10.0,9.0,6.0,6.0,0.0,3.0,0.0,0.0,Ses2005/2006
66,2005-10-01,11.0,17.0,2.0,0.0,H,0.0,0.0,D,31.0,20.0,6.0,11.0,3.0,15.0,17.0,11.0,1.0,2.0,0.0,0.0,0.0,Ses2005/2006
67,2005-10-01,12.0,16.0,2.0,3.0,A,1.0,0.0,H,32.0,9.0,13.0,4.0,7.0,15.0,17.0,1.0,6.0,3.0,2.0,0.0,0.0,Ses2005/2006
68,2005-10-01,2.0,14.0,2.0,3.0,A,2.0,3.0,A,52.0,11.0,11.0,6.0,7.0,20.0,11.0,3.0,9.0,2.0,1.0,0.0,0.0,Ses2005/2006
69,2005-10-01,5.0,15.0,0.0,0.0,D,0.0,0.0,D,18.0,10.0,6.0,6.0,3.0,12.0,12.0,4.0,4.0,1.0,2.0,0.0,0.0,Ses2005/2006
70,2005-10-01,6.0,7.0,1.0,1.0,D,1.0,0.0,H,60.0,16.0,6.0,8.0,3.0,12.0,15.0,5.0,3.0,1.0,5.0,0.0,0.0,Ses2005/2006
71,2005-10-02,8.0,10.0,1.0,0.0,H,0.0,0.0,D,37.0,16.0,2.0,13.0,2.0,13.0,17.0,11.0,4.0,0.0,1.0,0.0,1.0,Ses2005/2006
